회수,단어,빈도수
제303회[정례회](2021.11.01 ~ 2021.12.27),후보자,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),용이,11.0
제303회[정례회](2021.11.01 ~ 2021.12.27),간담,10.0
제303회[정례회](2021.11.01 ~ 2021.12.27),형식,27.0
제303회[정례회](2021.11.01 ~ 2021.12.27),거나,41.0
제303회[정례회](2021.11.01 ~ 2021.12.27),서로,42.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육부,119.0
제303회[정례회](2021.11.01 ~ 2021.12.27),나중,45.0
제303회[정례회](2021.11.01 ~ 2021.12.27),궁극,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),얘기,493.0
제303회[정례회](2021.11.01 ~ 2021.12.27),세월,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),천년,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),노후,18.0
제303회[정례회](2021.11.01 ~ 2021.12.27),무방,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),표현,25.0
제303회[정례회](2021.11.01 ~ 2021.12.27),강성,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),거듭,9.0
제303회[정례회](2021.11.01 ~ 2021.12.27),변모,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),극성,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),서도,74.0
제303회[정례회](2021.11.01 ~ 2021.12.27),후퇴,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),피켓,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),관성,7.0
제303회[정례회](2021.11.01 ~ 2021.12.27),밀리,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),고집,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부리,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),뭔가,98.0
제303회[정례회](2021.11.01 ~ 2021.12.27),합리,14.0
제303회[정례회](2021.11.01 ~ 2021.12.27),타당,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),탈바꿈,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),염려,17.0
제303회[정례회](2021.11.01 ~ 2021.12.27),설득,32.0
제303회[정례회](2021.11.01 ~ 2021.12.27),타결,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),책무,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),담보,8.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학교면,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),그거,69.0
제303회[정례회](2021.11.01 ~ 2021.12.27),압니,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),지역구,10.0
제303회[정례회](2021.11.01 ~ 2021.12.27),전화,17.0
제303회[정례회](2021.11.01 ~ 2021.12.27),크게,29.0
제303회[정례회](2021.11.01 ~ 2021.12.27),안정화,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),주기,21.0
제303회[정례회](2021.11.01 ~ 2021.12.27),중재,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),이동현,56.0
제303회[정례회](2021.11.01 ~ 2021.12.27),설문,38.0
제303회[정례회](2021.11.01 ~ 2021.12.27),혼선,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),자꾸,41.0
제303회[정례회](2021.11.01 ~ 2021.12.27),지원청,60.0
제303회[정례회](2021.11.01 ~ 2021.12.27),장님,52.0
제303회[정례회](2021.11.01 ~ 2021.12.27),본연,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),중인,17.0
제303회[정례회](2021.11.01 ~ 2021.12.27),임의,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),자의,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),청과,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),이석주,28.0
제303회[정례회](2021.11.01 ~ 2021.12.27),노고,18.0
제303회[정례회](2021.11.01 ~ 2021.12.27),성동,7.0
제303회[정례회](2021.11.01 ~ 2021.12.27),누가,43.0
