회수,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),권역별,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),복합,19.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부서,212.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),권한,88.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),이기,129.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),일관,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),실정,14.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),주로,66.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),주차,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),군데,34.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동선,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),장님,92.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),감액,8.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),센티,16.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),면책,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),포인트,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),한번,447.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),제라,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유기,16.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),직제,12.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),거지,141.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),전문직,22.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),장학,88.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),소수,12.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),보직,8.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),비교,70.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),측면,167.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),진작,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),역구,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),조화,8.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),고요,192.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),보통,94.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),전문성,56.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육부,220.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),예전,25.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),직도,10.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),상관관계,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),수장,8.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),리딩,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),가면,49.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),그게,264.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),직결,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),그다음,535.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),특정,56.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),세력,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),견제,8.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),균형,16.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),원리,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),작동,13.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),거듭,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),한해,8.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),고위,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),연관,16.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),궁극,6.0
