회의록구분,대수,회의구분,위원회,회수,피감사기관,회의일자,발언자,발언순번,발언내용,기관구분
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,송재형 위원,3715,"그러면 행정실장 증인도 문제가 좀 있는 분이네. 지금 배우자가 하는 회사가 몇 가지 있지요, 2개?",위원
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,서울미술고등학교행정실장 정호영,3716,배우자요?,서울미술고등학교행정실장
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,송재형 위원,3717,"에듀팩토리하고 말과창조사, 여기에 직원이 이영민이라는 교직원, 백상은…….",위원
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,서울미술고등학교행정실장 정호영,3718,"아, 그것은 좀 잘못된 거고요. 그 부분은 해명을 하고 있습니다.",서울미술고등학교행정실장
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,송재형 위원,3719,근무를 안 했습니까?,위원
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,서울미술고등학교행정실장 정호영,3720,"전혀 아니고요. 일부 도와준 것은 있는데 그 부분은 지금 해명을 충분히, 그 부분도 수사대상이기는 한데 그것은 사실과 다른 부분이 있고 실제로는 학교 업무를 대부분 한 건데 그 부분은 더 다툼의 여지가 있습니다.",서울미술고등학교행정실장
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,송재형 위원,3721,"감사에 보면 1억 6,400만 원을 환수시켰어요.",위원
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,서울미술고등학교행정실장 정호영,3722,"이영민 씨 같은 경우는 저희 전산담당자로 10년 정도 일을 했어요, 계속 지금 일을 해 오고 있고. 그 업무를 하고 있는데 일부 말과창조사 일은 도와준 것은 사실인 것 같습니다. 그 부분의 지적을 감사관에서 하셔서…….",서울미술고등학교행정실장
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,송재형 위원,3723,"도와준 게 아니라 학교 행정을 맡은 사람이 두 가지 일을, 물론 행정실장 본인이 데리고 있는 직원들 아니에요?",위원
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,서울미술고등학교행정실장 정호영,3724,그렇지요. 행정실 직원입니다.,서울미술고등학교행정실장
